formula,material_id,element,stoichiometric_index,displacement_threshold_energy_eV,ed_interpretation,calculation_method,aggregation_mode,site_count,structure_source,ed_mode,status,notes
Ag2Te,JVASP-108812,Ag,2.0,25.44,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
Ag2Te,JVASP-108812,Te,1.0,49.149,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
Ag3PO4,JVASP-9585,Ag,3.0,14.705,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
Ag3PO4,JVASP-9585,P,1.0,8.7,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
Ag3PO4,JVASP-9585,O,4.0,6.933,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
Ag3SI,JVASP-53111,Ag,3.0,29.402,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
Ag3SI,JVASP-53111,S,1.0,2.943,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
Ag3SI,JVASP-53111,I,1.0,43.659,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
AlBiO3,JVASP-11273,Al,1.0,4.392,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
AlBiO3,JVASP-11273,Bi,1.0,21.997,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
AlBiO3,JVASP-11273,O,3.0,8.407,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
AlInSb2,JVASP-109795,Al,1.0,1.35,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
AlInSb2,JVASP-109795,In,1.0,0.286,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
